section,root,menu_path,slug,page_title,url,position,kind,title,characters,sha256,preview
入门,基础入门,入门 > 基础入门 > 快速入门 > 构建第一个HarmonyOS应用（ArkTS）,start-with-ets-stage,构建第一个HarmonyOS应用（ArkTS）,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-with-ets-stage,1,note,,47,c2e0ada0ad5c87bb74eef2e60a58896dd8a17ddeb092ab0175a0cf83a7ab75dc,为确保运行效果，本文以使用 DevEco Studio 6.1.1 Release版本 为例。
入门,基础入门,入门 > 基础入门 > 快速入门 > 构建第一个HarmonyOS应用（ArkTS）,start-with-ets-stage,构建第一个HarmonyOS应用（ArkTS）,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-with-ets-stage,2,note,,112,f8944ccd411f1e563d2b16e7b546212a0a154b5d63a55ac25187b9a13a99358f,开发者也可以在右键单击 pages 文件夹时，选择 New > Page > Empty Page ，命名为 Second ，单击 Finish 完成第二个页面的创建。使用此种方式则无需再进行下文中第二个页面路由的手动配置。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包概述,application-package-overview,应用程序包概述,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-overview,1,note,,134,8f923c581e7ed7960e2328f79122220237242783f4a40fdb9c948660054d2f81,实际上，Shared Library编译后除了会生成一个.hsp文件，还会生成一个.har文件。这个.har文件中包含了HSP对外导出的接口，应用中的其他模块需要通过.har文件来引用HSP的功能。为了表述方便，通常认为编译Shared Library后会生成HSP。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包概述,application-package-overview,应用程序包概述,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-overview,2,note,,294,009405f78969160ea8ce457facfcb887a5d90c538ac06780ca6017788321e32e,如果HAR支持声明pages页面，那么当HAR被打包到HAP或HSP中时，其内部声明的pages页面可能会与HAP/HSP中的pages页面存在相对路径上的重复，这将导致无法根据相对路径识别特定的路由页面。因此，HAR不支持在配置文件中声明pages页面，但可以包含pages页面，并通过 Navigation跳转 的方式进行跳转。 由于HSP仅支持应用内共享
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包结构,application-package-structure-stage,应用程序包结构,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-structure-stage,1,note,,161,cebbbf458910c941fdbd5fee91b038c4b865b0d70211bb684eddbe81638ba70b,AppScope目录由DevEco Studio自动生成，该目录名称更改会导致当前目录下配置文件和资源加载失败，导致编译报错问题，因此该目录名称请勿修改。 Module目录名称可以由DevEco Studio自动生成（比如entry、library等），也可以自定义。为了便于说明，下表中统一采用ModuleName表示。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包结构,application-package-structure-stage,应用程序包结构,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-structure-stage,2,note,,89,2302c8af88b51b18eaf4d7f8f204ebd79cdda343bb0445ea28883cd93c04a450,App Pack是发布上架到应用市场的基本单元。 在 应用签名 时，是以HAP/HSP/APP为单位进行签名的；在云端分发、端侧安装时，是以HAP/HSP为单位进行分发和安装的。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAR,har-package,HAR,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/har-package,1,note,,88,9105fc8b87c6f77caaaee07c458e96bbd3332454907a1d08365e70a1bec59bfa,如果使用 startAbility 接口拉起HAR中的UIAbility，接口参数中的moduleName取值需要为依赖该HAR的 HAP / HSP 的moduleName。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAR,har-package,HAR,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/har-package,2,note,,195,b4e4820e2ac8c57541cbc8bf5d81822e0ecb326ebc934cf23137e651b206378e,循环依赖：例如有三个HAR，HAR-A、HAR-B和HAR-C，循环依赖指HAR-A依赖HAR-B，HAR-B依赖HAR-C，HAR-C又依赖HAR-A。 依赖传递：例如有三个HAR，HAR-A、HAR-B和HAR-C，依赖关系是HAR-A依赖HAR-B，HAR-B依赖HAR-C。不支持传递依赖指HAR-A可以使用HAR-B的方法和组件，但是HAR-A不能直
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAR,har-package,HAR,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/har-package,3,note,,204,dbf6edf9b78121023016c03848deb2bdfec4d1bd383b901a1cb9edb5795e9c29,HAR在和宿主应用一起编译时，会把HAR的代码直接编译到宿主应用中，HAR包是一个编译中间态产物，不是最终的运行实体。运行时，HAR运行的身份信息是其宿主应用，系统会以宿主应用的版本做行为区分。如果需要在HAR中区分宿主应用的版本做不同的行为区分，可以调用 getBundleInfoForSelf 接口，获取宿主应用的targetVersion，然后根据不同
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAR,har-package,HAR,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/har-package,4,note,,174,1640186178dce9c396ce1197f9d61c90b7a0e7f99343a0f4ca1913a6443ea340,如果在AppScope、HAP模块或HAR模块的国际化目录中配置了资源，在相同的国际化限定词下，合并的优先级也遵循上述规则。同时，国际化限定词中配置的优先级高于在base中的配置。例如，在AppScope的base中配置了资源字段，在HAR模块的en_US中配置了同样的资源字段，则在en_US的使用场景中，会更优先使用HAR模块中配置的资源字段。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HSP,in-app-hsp,HSP,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/in-app-hsp,1,note,,195,43e51e0053f330292dfb7091e8041fe5c17861902e3c10d4e1f7c1b2dec88e9e,应用内HSP：在编译过程中与应用包名（bundleName）强耦合，只能给某个特定的应用使用。 集成态HSP ：构建、发布过程中，不与特定的应用包名耦合；使用时，工具链支持自动将集成态HSP的包名替换成宿主应用包名，并且会重新签名生成一个新的HSP包，作为宿主应用的安装包，这个新的HSP也属于宿主应用HAP的应用内HSP。 指南和API参考文档中如无特殊说明
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HSP,in-app-hsp,HSP,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/in-app-hsp,2,note,,195,2d5d0cbe7b503604bf3c4498f447163f3f2434accd114131c20a7fbecfb510a3,循环依赖：例如有三个HSP，HSP-A、HSP-B和HSP-C，循环依赖指HSP-A依赖HSP-B，HSP-B依赖HSP-C，HSP-C又依赖HSP-A。 依赖传递：例如有三个HSP，HSP-A、HSP-B和HSP-C，依赖关系是HSP-A依赖HSP-B，HSP-B依赖HSP-C。不支持传递依赖指HSP-A可以使用HSP-B的方法和组件，但是HSP-A不能直
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包安装卸载与更新 > 应用安装与更新一致性校验,install-and-update-consistency-verification,应用安装与更新一致性校验,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/install-and-update-consistency-verification,1,note,,85,bc465d5d4826d34b6b0033ac34fb60c4286ba2506cc1b1357ed4767b4a589b73,app.json5配置文件 中versionCode字段一致，表示安装或更新包同版本，否则为不同版本。 使用打包工具进行打包时，会进行合法性校验。详情请参考 打包工具 。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用配置文件 > 应用配置文件概述,application-configuration-file-overview-stage,应用配置文件概述,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-configuration-file-overview-stage,1,note,,83,d47d004049885a86d5756513dbb71c64c39e73cdbadc10cb8ab8eaf91f4aeae3,编译后，单个模块的编译产物中，app.json5和module.json5的内容会合并到一个module.json文件中，详情参考 编译态包结构 的编译打包后的视图。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用配置文件 > app.json5配置文件,app-configuration-file,app.json5配置文件,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/app-configuration-file,1,note,,108,1edcd01f0137c6defa287f43d336446545d7ad839090793e72e373240b23d4e8,配置文件中的示例代码直接拷贝到工程中可能编译不通过，请开发者根据需求进行配置。例如：通过$符号引用的资源文件如果工程中不存在，需要开发者手动添加或替换为实际的资源文件。 配置文件中，字段可以重复，以最后一个配置为准。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用配置文件 > module.json5配置文件,module-configuration-file,module.json5配置文件,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/module-configuration-file,1,note,,108,1edcd01f0137c6defa287f43d336446545d7ad839090793e72e373240b23d4e8,配置文件中的示例代码直接拷贝到工程中可能编译不通过，请开发者根据需求进行配置。例如：通过$符号引用的资源文件如果工程中不存在，需要开发者手动添加或替换为实际的资源文件。 配置文件中，字段可以重复，以最后一个配置为准。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用配置文件 > module.json5配置文件,module-configuration-file,module.json5配置文件,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/module-configuration-file,2,note,,34,6a38b9cd525acff3d1b574ce1c38904737475419dcf20660fa8d8b9ac3fb87e1,以下字符串类型的标签不支持使用资源索引的方式（$string）配置。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用配置文件 > module.json5配置文件,module-configuration-file,module.json5配置文件,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/module-configuration-file,3,note,,58,a1934bf115b141499c34f28e80cd18d4e21f3e2192551f56e1e739417dea6185,如下示例为通用配置，部分组件和模块在实际配置时存在差异，例如 点击消息进入应用首页 的限制，具体请参考对应文档说明。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用配置文件 > module.json5配置文件,module-configuration-file,module.json5配置文件,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/module-configuration-file,4,note,,24,9a36cd9fd605205b95680d055b32677d80d5c364f5c67144cdd158373bf995c0,桌面展示快捷方式的数量有上限要求，最多展示4个。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用配置文件 > module.json5配置文件,module-configuration-file,module.json5配置文件,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/module-configuration-file,5,note,,63,f920930b282c5d38cc07da75cdf6e5c54591288ddc477eef64e09523b786ab46,该标签从API version 10及以后版本开始生效，API version 9及以前版本使用distroFilter标签。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > 创建应用静态快捷方式,typical-scenario-configuration,创建应用静态快捷方式,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/typical-scenario-configuration,1,note,,24,9a36cd9fd605205b95680d055b32677d80d5c364f5c67144cdd158373bf995c0,桌面展示快捷方式的数量有上限要求，最多展示4个。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > 配置应用图标和名称,layered-image,配置应用图标和名称,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/layered-image,1,note,,432,0941d3d8d02256d69549245d0658c92db471bf572a15ea3e860e032f5c32fb42,在编译构建时，AppScope目录下的资源文件会合入到模块下相同路径的资源目录中，如果两个目录下存在重名文件，编译打包后AppScope目录下的资源文件会覆盖模块下的资源。 例如，app.json5和module.json5中配置的分层图标的资源文件名称一致、图标不一致，AppScope目录下的资源文件会覆盖模块中的文件，最后的效果是app.json5中的配
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > 配置应用图标和名称,layered-image,配置应用图标和名称,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/layered-image,2,note,,145,5255f338649909bf599a59666507b9b9139f5058eda2647651b5eae3c6f0a01d,DevEco Studio NEXT Beta1(5.0.3.814) 及之后的版本，创建应用时默认模板中包含分层图标的资源文件，不同版本生成的资源文件名称可能不同，文件名称支持手动修改。如果分层图标资源文件不存在则需要手动创建，文件名称需要符合资源命名规范，由数字、字母、点和下划线组成。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > 配置应用图标和名称,layered-image,配置应用图标和名称,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/layered-image,3,note,,72,003c0d54187e9d8fec710eb64c6875e608b315369a30d3dd19fa1369495994ef,alternateIcons标签仅在bundleType为app时生效。 应用最多只能同时启用一个备用图标。 分身应用不支持设置和查询备用图标。
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 典型场景的开发指导 > HAR转HSP指导,har-to-hsp,HAR转HSP指导,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/har-to-hsp,1,note,,102,e6141c841c6208024aac847918ca5835fa0f4cf9d8bc276830b21d60ad6227ac,部分组件和模块在HAP、HSP、HAR中集成使用时存在差异，例如 加载HAR中Worker线程文件相比HSP存在单独的使用约束 ，因此按照如下步骤完成HAR转HSP后，请关注对应组件和模块介绍并进行适配。
