序号,仓库名,平台,分类,Stars,主语言,克隆地址,主页,本地目录,简介
1,lk506667090/kyl-sanatorium,Gitee,养老院管理系统,0,Java11 SpringBoot2.7 MyBatisPlus / Vue3 TS TDesign / uni-app,https://gitee.com/lk506667090/kyl-sanatorium.git,https://gitee.com/lk506667090/kyl-sanatorium,lk506667090__kyl-sanatorium,康悦林智慧疗养系统 — 全栈疗养院管理系统：PC管理后台+家属端小程序+后端API，含IoT智能监测/财务/护理计划
2,fate-friend/elder-care-suite,Gitee,养老院管理系统,0,SpringBoot Mybatis Vue MySQL Redis Docker,https://gitee.com/fate-friend/elder-care-suite.git,https://gitee.com/fate-friend/elder-care-suite,fate-friend__elder-care-suite,ElderCareSuite 智慧养老管理系统 — 河南大学软件学院，护工上传健康数据+家属查看，小程序+后台+后端
3,itxinfei/zzyl,Gitee,养老院管理系统,0,SpringBoot2.7 Activiti7 Redis XXL-JOB / Vue3 TDesign / 小程序,https://gitee.com/itxinfei/zzyl.git,https://gitee.com/itxinfei/zzyl,itxinfei__zzyl,中州养老院智慧管理系统 — 管理后台+家属端，入住/退住/服务记录/财务/Activiti工作流/阿里云IoT
4,snow_zx/zzyl,Gitee,养老院管理系统,0,SpringBoot Vue,https://gitee.com/snow_zx/zzyl.git,https://gitee.com/snow_zx/zzyl,snow_zx__zzyl,中州养老（收集版） — 中州养老双端项目，含项目管理/PRD/UIUE文档
5,huichar/zzyl,Gitee,养老院管理系统,0,SpringBoot Vue,https://gitee.com/huichar/zzyl.git,https://gitee.com/huichar/zzyl,huichar__zzyl,中州养老（fork） — fork 自心飞为你飞/中州养老
6,tuowei_1/zzyl,Gitee,养老院管理系统,0,RuoYi SpringBoot Vue,https://gitee.com/tuowei_1/zzyl.git,https://gitee.com/tuowei_1/zzyl,tuowei_1__zzyl,Zzyl v1.0.0（若依版中州养老） — 基于若依的中州智慧养老，JWT权限+健康预警（可能私有）
7,itxinfei/zzyl-web,Gitee,适老化前端,0,Vue3 TS TDesign,https://gitee.com/itxinfei/zzyl-web.git,https://gitee.com/itxinfei/zzyl-web,itxinfei__zzyl-web,中州养老 管理后台前端 — 中州养老管理后台 Vue3 前端源码
8,ziyanlingxi/zhilao,Gitee,综合养老平台,0,Vue3 Vite ElementPlus / SpringBoot MyBatisPlus MySQL8,https://gitee.com/ziyanlingxi/zhilao.git,https://gitee.com/ziyanlingxi/zhilao,ziyanlingxi__zhilao,智老 - 智慧养老服务平台 — 计算机设计大赛作品：健康监测/紧急呼叫/用药提醒/定位追踪/亲情互动
9,sun-anzhi/smart-elderly-care-system,Gitee,养老院管理系统,0,SpringBoot MyBatisPlus / Vue3 ElementPlus ECharts,https://gitee.com/sun-anzhi/smart-elderly-care-system.git,https://gitee.com/sun-anzhi/smart-elderly-care-system,sun-anzhi__smart-elderly-care-system,智慧养老系统（养老院管理） — 老人/员工/来访/外出/食谱/入住管理+数据看板
10,gaosc2001/elderly-medical-care-system,Gitee,医养结合,0,SpringBoot2.7 MyBatisPlus JWT / Vue3 Pinia ECharts,https://gitee.com/gaosc2001/elderly-medical-care-system.git,https://gitee.com/gaosc2001/elderly-medical-care-system,gaosc2001__elderly-medical-care-system,智慧养老医疗管理系统 — 用户/医生/管理员三角色，健康档案+在线咨询+预约+紧急求助
